stadt,stadt_key,land,mg_l_caco3,dH,zone_min_dH,zone_max_dH,calcium_mg_l,magnesium_mg_l,nitrat_mg_l,natrium_mg_l,ph,karbonathaerte_mg_l_caco3,herkunft,band_international,stand,quelle,quelle_url,kh_min_dH,kh_max_dH,kh_berechnet_min_dH,kh_berechnet_max_dH,kh_stand,kh_quelle_url
Riehen,Riehen,CH,,,8.6,11.4,,,,,,,spring,very hard,2025,IWB,https://www.iwb.ch/dam/jcr:806e00b9-5595-4623-b696-28b655adf19b/2025_trinkwasserqualitaetsdaten_iwb_hardwasser.pdf,7.5,9.3,,,2025,https://www.iwb.ch/dam/jcr:806e00b9-5595-4623-b696-28b655adf19b/2025_trinkwasserqualitaetsdaten_iwb_hardwasser.pdf
Sion,Sion,CH,,,12.1,16.4,70.0,16.6,3.85,8.6,7.9,,,varies by supply zone,2024,Oiken SA,https://trinkwasser.ch/de/versorger/782/oiken-sa/2639/default,,,,,,
St. Gallen,St. Gallen,CH,168.0,9.4,9.2,9.6,51.0,8.0,4.0,6.0,8.02,128.0,lake,hard,2022,St.Galler Stadtwerke,https://www.sgsw.ch/content/dam/dokument_library/sgsw-onlinewelt/downloads1/publikationen/Trinkwasserqualit%C3%A4t.pdf,7.0,7.3,,,2022,https://www.sgsw.ch/content/dam/dokument_library/sgsw-onlinewelt/downloads1/publikationen/Trinkwasserqualit%C3%A4t.pdf
Thal,Thal,CH,165.0,9.2,,,51.0,9.0,4.0,,8.03,,lake,hard,2025,Technische Betriebe Thal,https://www.thal.ch/uploads/698aff90bf53768d1c3574df/-/Information%20zur%20Trinkwasserqualit%C3%A4t%202025.pdf,,,,,,
Winterthur,Winterthur,CH,271.0,15.2,14.3,15.7,75.8,19.8,6.4,5.8,7.5,266.9,groundwater;spring,very hard,2025,Stadtwerk Winterthur,https://trinkwasser.ch/de/versorger/792/stadtwerk-winterthur/3438/default,14.1,15.4,,,2025,https://trinkwasser.ch/de/versorger/792/stadtwerk-winterthur/3438/default
Zug,Zug,CH,248.0,13.9,11.8,15.2,76.5,14.1,8.3,10.1,7.48,,spring;groundwater,very hard,2025,WWZ AG,https://trinkwasser.ch/de/versorger/635/wwz-ag/3227/default,,,13.4,13.4,,https://trinkwasser.ch/de/versorger/635/wwz-ag/3227/default
Zürich,Zurich,CH,158.0,8.9,7.7,10.7,,,,,7.85,148.0,lake;spring;groundwater,hard,2025,Wasserversorgung Zurich (Stadt Zurich),https://www.stadt-zuerich.ch/content/dam/web/de/umwelt-energie/wasser/dokumente/2025_Trinkwasserqualitaet.pdf,7.1,10.2,,,2025,
Aachen,Aachen,DE,,,3.0,14.0,,,,,,,,varies by supply zone,2025,STAWAG,https://www.stawag.de/fileadmin/stawag/content/Dokumente/Wasser/Trinkwasseranalyse_Aachen_2024.pdf,2.4,6.0,,,2025,https://www.stawag.de/fileadmin/stawag/content/Dokumente/Wasser/Trinkwasseranalyse_Aachen_2024.pdf
Arnsberg,Arnsberg,DE,128.5,7.2,,,,,,,,101.7,river_bank,,2025,Wasserwerke Westfalen,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse,5.7,5.7,,,2025,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse
Augsburg,Augsburg,DE,228.5,12.8,,,,,10.0,,7.58,208.0,,very hard,2025,Stadtwerke Augsburg,https://www.sw-augsburg.de/wasser/wasserqualitaet,11.7,11.7,,,2026,https://www.sw-augsburg.de/fileadmin/content/6_pdf_Downloadcenter/2_Wasser/Qualitaet/swa_26_Trinkwasseranalyse.pdf
Bergisch Gladbach,Bergisch Gladbach,DE,228.5,12.8,,,69.0,14.0,19.0,24.0,7.59,149.9,groundwater,very hard,2025,BELKAW,https://www.belkaw.de/trinkwasseranalyse-belkaw-2026.pdfx,8.4,8.4,,,2026,https://www.belkaw.de/trinkwasseranalyse-belkaw-2026.pdfx
Berlin,Berlin,DE,,,10.3,25.7,,,,,7.5,,groundwater,varies by supply zone,2024,Berliner Wasserbetriebe,https://www.bwb.de/de/analysedaten-nach-postleitzahlen.php,9.0,15.7,,,2024,https://www.bwb.de/de/analysedaten-nach-postleitzahlen.php
Bielefeld,Bielefeld,DE,,,4.3,17.1,,,,,7.13,,,varies by supply zone,2025,Stadtwerke Bielefeld,https://www.stadtwerke-bielefeld.de/privatkunden/wasser/trinkwasser/wasserversorgung/,3.9,15.0,,,2025,https://www.stadtwerke-bielefeld.de/privatkunden/wasser/trinkwasser/wasserversorgung/
Bochum,Bochum,DE,,,7.3,7.6,41.0,6.9,8.9,27.0,8.08,,,varies by supply zone,2026,Stadtwerke Bochum,https://www.stadtwerke-bochum.de/privatkunden/produkte/wasser/wasserqualitaet,5.4,5.5,,,2026,https://www.stadtwerke-bochum.de/fileadmin/Dateien/PDF/Sonstiges/Wasser/Trinkwasseranalyse_Bochum_ohne_Langendreer_und_Werne.pdf
Bonn,Bonn,DE,,,4.7,6.2,,,9.0,9.8,8.0,,reservoir,soft,2025,SWB Energie und Wasser,https://www.stadtwerke-bonn.de/fileadmin/download-center/PDFs/Wasser/Wasseranalyse_2025.pdf,2.7,3.9,,,2025,https://www.stadtwerke-bonn.de/fileadmin/download-center/PDFs/Wasser/Wasseranalyse_2025.pdf
Bottrop,Bottrop,DE,,,5.7,14.1,,,,,,,groundwater,varies by supply zone,2025,RWW Rheinisch-Westfälische Wasserwerksgesellschaft,https://www.rww.de/trinkwasser/wasserqualitaet/trinkwasseranalysen,4.7,9.4,,,2025,https://www.rww.de/trinkwasser/wasserqualitaet/trinkwasseranalysen
Braunschweig,Braunschweig,DE,149.9,8.4,,,49.0,6.7,7.1,22.9,7.97,73.2,reservoir;groundwater,hard,2026,BS|ENERGY,https://www.bs-energy.de/fileadmin/BSEnergy/Main_Menu/Privatkunden/Wasser/Wasseranalysen/Trinkwasser_Vollanalyse_2026.pdf,4.1,4.1,,,2026,https://www.bs-energy.de/fileadmin/BSEnergy/Main_Menu/Privatkunden/Wasser/Wasseranalysen/Trinkwasser_Vollanalyse_2026.pdf
Bremen,Bremen,DE,,,6.3,13.5,,,,,7.9,,,varies by supply zone,2026,swb,https://www.swb.de/-/media/files/wasser/trinkwasser-analyse-bremen.pdf,4.2,10.9,,,2026,https://www.swb.de/-/media/files/wasser/trinkwasser-analyse-bremen.pdf
Bremerhaven,Bremerhaven,DE,,,9.0,11.4,,,,,,,groundwater,varies by supply zone,2026,swb,https://www.swb.de/-/media/files/wasser/trinkwasser-analyse-bremerhaven.pdf,6.7,10.1,,,2026,https://www.swb.de/-/media/files/wasser/trinkwasser-analyse-bremerhaven.pdf
Castrop-Rauxel,Castrop-Rauxel,DE,130.3,7.3,,,,,,,,98.2,river_bank,,2025,Wasserwerke Westfalen,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse,5.5,5.5,,,2025,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse
Chemnitz,Chemnitz,DE,,,3.9,5.3,,,,,8.1,,long_distance,varies by supply zone,2025,Südsachsen Wasser / eins energie in sachsen,https://www.eins.de/privatkunden/wasser/trinkwasseranalyse,1.9,3.4,,,2025,https://www.eins.de/privatkunden/wasser/trinkwasseranalyse
Köln,Cologne,DE,,,15.6,18.1,,,22.0,35.0,7.3,230.2,,varies by supply zone,2025,RheinEnergie,https://web.cdn.rheinenergie.com/cms/media/documents/trinkwasseranalyse/Trinkwasseranalyse_Linksrheinisch.pdf,12.9,12.9,,,2026,https://web.cdn.rheinenergie.com/cms/media/documents/trinkwasseranalyse/Trinkwasseranalyse_Linksrheinisch.pdf
Cottbus,Cottbus,DE,,,14.0,17.0,93.5,11.9,1.5,14.0,7.54,,groundwater,varies by supply zone,2026,LWG Lausitzer Wasser,https://lausitzer-wasser.de/de/trinkwasser/wasserqualitaet.html,6.4,9.0,,,2026,https://lausitzer-wasser.de/de/trinkwasser/wasserqualitaet.html
Darmstadt,Darmstadt,DE,,,18.4,19.5,101.8,17.6,,,7.5,,,very hard,2025,ENTEGA,https://www.entega.ag/fileadmin/downloads/vertrieb/trinkwasser_darmstadt.pdf,11.9,12.3,,,2025,https://www.entega.ag/fileadmin/downloads/vertrieb/trinkwasser_darmstadt.pdf
Dortmund,Dortmund,DE,,,7.3,8.2,,,,,7.9,,river_bank;groundwater,varies by supply zone,2025,Wasserwerke Westfalen,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse,5.5,6.5,,,2025,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse
Dresden,Dresden,DE,,,5.6,12.3,,,,,8.14,,reservoir;river_bank;groundwater,varies by supply zone,2025,SachsenEnergie,https://www.sachsenenergie.de/wps/portal/energie/cms/menu_main/privatkunden/wasser/gut-zu-wissen/trinkwasserqualitaet,2.9,6.5,,,2025,https://www.sachsenenergie.de/wps/wcm/connect/energie/9c1ef089-a1fe-44b4-87bd-2e9023818c25/Analysedaten-Coschuetz-Hosterwitz-Tolkewitz.pdf?MOD=AJPERES
Duisburg,Duisburg,DE,,,10.0,20.0,,,,,7.2,,,varies by supply zone,2025,Stadtwerke Duisburg,https://www.stadtwerke-duisburg.de/privatkunden/themen/trinkwasser-fuer-duisburg,8.4,13.0,,,2025,https://www.stadtwerke-duisburg.de/privatkunden/themen/trinkwasser-fuer-duisburg
Düsseldorf,Dusseldorf,DE,267.7,15.0,,,,,,,7.5,179.9,,very hard,2026,Stadtwerke Düsseldorf,https://www.swd-ag.de/privatkunden/trinkwasser/trinkwasseranalyse,10.1,10.1,,,2026,https://www.swd-ag.de/privatkunden/trinkwasser/trinkwasseranalyse
Erfurt,Erfurt,DE,,,3.2,26.4,,,,,7.9,,long_distance;groundwater,varies by supply zone,,SWE Energie / ThüWa ThüringenWasser,https://www.swe-energie.de/energie/home/themenwelt/erfurter-wasser,3.3,12.3,,,,
Erlangen,Erlangen,DE,,,9.8,15.3,,,,,7.68,,,varies by supply zone,2026,Erlanger Stadtwerke (ESTW),https://www.estw.de/de/Energie-Wasser/Wasser/Trinkwasserqualitaet/Wasserhaerte-in-Grenzen/Wasserhaerte-in-Grenzen.html,9.1,13.3,,,2025,https://www.estw.de/de/Energie-Wasser/Wasser/Trinkwasserqualitaet/Wasserhaerte-in-Grenzen/Wasserhaerte-in-Grenzen.html
Essen,Essen,DE,137.4,7.7,,,42.0,7.9,9.2,41.0,7.9,110.7,,hard,2025,Stadtwerke Essen,https://www.stadtwerke-essen.de/fileadmin/user_upload/pdf/netz/2025_00-0350_SWE.pdf,6.2,6.2,,,2026,https://www.stadtwerke-essen.de/fileadmin/user_upload/pdf/netz/2025_00-0350_SWE.pdf
Frankfurt am Main,Frankfurt am Main,DE,,,4.0,20.4,,,,,,,,varies by supply zone,2025,Mainova / Hessenwasser,https://www.mainova.de/de/wissenswertes/ratgeber/wasserqualitaet-und-wasserhaerte-mainova-trinkwasser,2.9,14.5,,,2025,https://www.mainova.de/de/wtrhrd/download/RI.pdf
Freiburg im Breisgau,Freiburg im Breisgau,DE,,,2.3,13.0,,,,,7.71,,,varies by supply zone,2026,badenova,https://www.badenova.de/privatkunden/wasser/wasserversorgung-in-freiburg,2.4,9.9,,,2026,https://www.badenova.de/privatkunden/wasser/wasserversorgung-in-freiburg
Fürth,Fürth,DE,,,14.7,16.7,,,,,,228.4,,varies by supply zone,,infra fürth,https://www.infra-fuerth.de/privatkunden/produkte/trinkwasser/wasser-qualitaet,12.8,12.8,,,2026,https://www.oberasbach.de/fileadmin/Gemeinde/Buergerservice_und_Politik/Ver-_und_Entsorgung/20260910_Trinkwasserbeschaffenheit.pdf
Gelsenkirchen,Gelsenkirchen,DE,201.7,11.3,7.7,11.3,73.0,4.8,11.6,19.0,7.55,149.9,,very hard,2025,Gelsenwasser,https://www.gelsenwasser.de/wasser/wasserhaerte/gelsenkirchen,8.4,8.4,,,2025,https://www.gelsenwasser.de/wasser/wasserhaerte/gelsenkirchen
