stadt,stadt_key,land,mg_l_caco3,dH,zone_min_dH,zone_max_dH,calcium_mg_l,magnesium_mg_l,nitrat_mg_l,natrium_mg_l,ph,karbonathaerte_mg_l_caco3,herkunft,band_international,stand,quelle,quelle_url,kh_min_dH,kh_max_dH,kh_berechnet_min_dH,kh_berechnet_max_dH,kh_stand,kh_quelle_url
Nizza,Nice,FR,153.6,8.6,,,47.5,8.8,1.0,11.8,8.15,63.0,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,3.5,3.5,,,,
Nimes,Nimes,FR,225.9,12.7,,,78.5,7.2,7.1,10.3,7.1,197.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,11.1,11.1,,,,
Orleans,Orleans,FR,155.9,8.7,,,56.3,5.0,13.4,10.8,7.6,156.0,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,8.7,8.7,,,,
Paris,Paris,FR,249.2,14.0,,,94.4,3.2,32.8,7.9,7.81,208.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,11.7,11.7,,,,
Pau,Pau,FR,115.0,6.4,,,40.2,3.0,1.6,3.1,8.5,105.0,,moderately hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,5.9,5.9,,,,
Perpignan,Perpignan,FR,131.0,7.3,,,42.0,6.3,12.4,8.8,8.0,94.2,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,5.3,5.3,,,,
Poitiers,Poitiers,FR,251.0,14.1,,,86.0,8.7,44.0,13.0,7.6,217.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,12.2,12.2,,,,
Reims,Reims,FR,271.0,15.2,,,102.0,4.0,23.2,11.0,7.4,236.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,13.2,13.2,,,,
Rennes,Rennes,FR,155.0,8.7,,,52.5,5.0,15.7,18.0,8.1,97.0,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,5.4,5.4,,,,
Rouen,Rouen,FR,278.0,15.6,,,112.0,3.3,23.6,9.3,7.4,262.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,14.7,14.7,,,,
Rueil-Malmaison,Rueil-Malmaison,FR,185.5,10.4,,,59.7,8.8,15.2,,7.6,208.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,11.7,11.7,,,2026,https://hubeau.eaufrance.fr/page/api-qualite-eau-potable
Saint-Etienne,Saint-Etienne,FR,338.0,18.9,,,118.0,8.1,32.8,17.7,7.1,257.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,14.4,14.4,,,,
Straßburg,Strasbourg,FR,248.0,13.9,,,81.0,11.0,11.0,23.0,7.2,205.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,11.5,11.5,,,,
Toulon,Toulon,FR,350.8,19.7,,,115.0,15.5,4.5,8.4,7.76,254.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,14.3,14.3,,,,
Toulouse,Toulouse,FR,91.0,5.1,,,32.0,2.7,3.0,5.2,8.0,85.0,,moderately hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,4.8,4.8,,,,
Tours,Tours,FR,143.0,8.0,,,46.8,6.1,11.0,12.2,7.5,137.0,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,7.7,7.7,,,,
Troyes,Troyes,FR,239.0,13.4,,,90.0,3.3,16.0,3.3,7.4,210.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,11.8,11.8,,,,
Valence,Valence,FR,300.6,16.8,,,100.2,12.2,34.3,8.8,7.4,295.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,16.6,16.6,,,,
Aberdeen,Aberdeen,GB,26.7,1.5,1.1,1.5,,,,,,,,soft,2024,Scottish Water,https://www.scottishwater.co.uk/-/media/scottishwater/document-hub/key-publications/water-quality/130225waterhardnessdata24.pdf,,,,,,
Belfast,Belfast,GB,157.7,8.8,2.4,8.9,,,,,,,,hard,2025,NI Water,https://www.niwater.com/about-your-water/drinking-water/water-quality-results,,,,,,
Bristol,Bristol,GB,205.0,11.5,11.5,11.9,,,,,,155.0,,very hard,2025,Bristol Water,https://www.bristolwater.co.uk/home/account-and-services/water-quality-checker,8.7,8.7,,,2025,https://www.bristolwater.co.uk/home/account-and-services/water-quality-checker
Cambridge,Cambridge,GB,334.6,18.7,17.2,18.7,,,,,,,,very hard,2025,Cambridge Water,https://www.cambridge-water.co.uk/household/my-water-supply/water-quality/water-quality-standards/cambridge-city-north-water-quality-zone-z1/,,,,,,
Cardiff,Cardiff,GB,105.3,5.9,,,,,,,,73.3,,moderately hard,2025,Dŵr Cymru Welsh Water,https://www.dwrcymru.com/en/help-advice/drinking-water-quality/water-hardness,4.1,4.1,,,2025,https://inyourarea.digdat.co.uk/dwrcymru
Edinburgh,Edinburgh,GB,31.4,1.8,1.7,1.8,,,,,,,,soft,2024,Scottish Water,https://www.scottishwater.co.uk/-/media/scottishwater/document-hub/key-publications/water-quality/130225waterhardnessdata24.pdf,,,,,,
Glasgow,Glasgow,GB,15.7,0.9,0.9,1.3,,,,,,,,soft,2024,Scottish Water,https://www.scottishwater.co.uk/-/media/scottishwater/document-hub/key-publications/water-quality/130225waterhardnessdata24.pdf,,,,,,
Kingston upon Hull,Kingston upon Hull,GB,370.6,20.8,,,138.0,6.3,41.3,24.0,7.2,,,very hard,2024,Yorkshire Water,https://www.yorkshirewater.com/your-water/water-hardness/,,,,,,
Portsmouth,Portsmouth,GB,288.2,16.1,,,,,34.4,9.5,7.28,234.3,,very hard,2021,Portsmouth Water,https://www.portsmouthwater.co.uk/wp-content/uploads/2022/06/ZFA1-WQ-Summary_2021.pdf,13.1,13.1,,,2021,https://www.portsmouthwater.co.uk/wp-content/uploads/2022/06/ZFA1-WQ-Summary_2021.pdf
York,York,GB,246.7,13.8,,,86.6,7.4,19.3,15.6,7.2,,,very hard,2024,Yorkshire Water,https://www.yorkshirewater.com/your-water/water-hardness/,,,,,,
Bozen,Bolzano,IT,,,7.3,9.0,,,,,7.9,,groundwater,weich bis mittelhart,2026,SEAB Bozen,https://www.seab.bz.it/de/bozner-trinkwasser,4.6,7.3,,,2025,https://umwelt.provinz.bz.it/de/wasser/oeffentliche-trinkwasserleitungen
Brixen,Bressanone,IT,40.0,2.2,1.7,2.2,,,2.0,1.0,8.6,,spring;groundwater,weich,2025,Landesumweltagentur Südtirol,https://umwelt.provinz.bz.it/de/system.id=529d168a-8b01-460d-bac7-d9423a861e78,1.6,1.8,,,2025,https://umwelt.provinz.bz.it/de/wasser/oeffentliche-trinkwasserleitungen
Bruneck,Brunico,IT,,,2.8,8.4,,,,1.0,8.4,,spring,weich,2025,Landesumweltagentur Südtirol,https://umwelt.provinz.bz.it/de/system.id=529d168a-8b01-460d-bac7-d9423a861e78,2.7,4.6,,,2025,https://umwelt.provinz.bz.it/de/wasser/oeffentliche-trinkwasserleitungen
Leifers,Laives,IT,,,6.7,12.3,,,7.0,11.0,7.9,,spring;groundwater,mittel bis hart,2025,Landesumweltagentur Südtirol,https://umwelt.provinz.bz.it/de/system.id=529d168a-8b01-460d-bac7-d9423a861e78,6.0,9.0,,,2025,https://umwelt.provinz.bz.it/de/wasser/oeffentliche-trinkwasserleitungen
Meran,Merano,IT,,,1.1,9.0,,,,,,,spring,weich bis hart,2025,Landesumweltagentur Südtirol,https://umwelt.provinz.bz.it/de/system.id=529d168a-8b01-460d-bac7-d9423a861e78,1.3,4.8,,,2025,https://umwelt.provinz.bz.it/de/wasser/oeffentliche-trinkwasserleitungen
